Username,Location,Date,Content,Rating,Title,Experience_date
None Ofyourbusiness,IT,4 giorni fa,"I contratti SORGENIA sono ingannevoli. Chiunque abbia chiesto un preventivo avrà ricevuto il loro bel prospetto informativo, con tanto di grafici e tabelle per intortarci meglio. Ebbene ho scoperto che nella pagina CONDIZIONI ECONOMICHE in cui chiunque crederebbe di trovare i costi del servizio, l'azienda ha messo dei numeri medi derivati da non meglio precisate statistiche nazionali (????). Ad esempio, se voi chiedete il preventivo per la tariffa SUNLIGHT vi manderanno un documento con su scritto che il costo fisso è di circa 81 euro annui. Ma questo numero non è il vero costo, il vero costo è di 96 euro!! E dove c'è scritto? Ovviamente è scritto in minuscolo a pagina 2, non a carattere cubitali nella pagina condizioni economiche, dove invece troviamo 81 euro. Stesso discorso per il gas, il cui costo fisso non è 114 euro ma 120 euro all'anno. Controllate le vostre bollette, se vi accreditano 8 euro al mese per la luce e 10 euro al mese per il gas, fate i conti che 8x12 non fa 81 e 10x12 non fa 114! Io li sto denunciando, consiglio tutti i clienti SORGENIA di fare altrettanto e richiedere il rimborso del sovrapprezzo nascosto.",1,ATTENZIONE: i contratti SORGENIA sono ingannevoli!!!,30 dicembre 2024
MARIO VERGA,IT,24 dic 2024,"Ho ricontattato Sorgenia,dopo un esperienza negativa di due mesi con un altra società di fornitura elettrica.
Ho trovato una operatrice gentilissima ,di nome Elena ,che mi ha consigliato l'offerta migliore per la mia attività.
Contento e felice di essere ritornato con Sorgenia.",5,Ritornato con Sorgenia,23 dicembre 2024
Ciro Di Capua,IT,9 ore fa,"Veloce e super disponibile, ho fatto voltura e cambio a sorgenia in 10 minuti",5,Super disponibile,03 gennaio 2025
Sandra C.,IT,12 ore fa,"Il passaggio a Sorgenia e'stato semplice e veloce, la guida dell'operatore ottima",5,Ottima esperiena,03 gennaio 2025
Mario Antonio Giurdanella,IT,27 dic 2024,"Cliente per più di 10anni, per la semplice voltura da padre a figlia, mantenendo stesso indirizzo, stesso metodo di pagamento e C.C. E STATO UN INCUBO, DA ESAURIMENTO LE VARIE FIRME E IL NON POTER COMUNICARE CON LO STESSO OPERATORE E DOVER, DI CONSEGUENZA, RICAPITOLARE LA STORIA, PERTANTO SORGENIA NO GRAZIE!",1,"Cliente per più di 10anni, voltura da incubo!",29 novembre 2024
Eugenio Giangiulio,IT,9 ore fa,"La consulente al telefono ha mostrato pazienza :-) e chiarezza, molto efficiente.",5,Servizio molto semplice,03 gennaio 2025
Elena Sivieri,IT,27 dic 2024,Sono stata molto soddisfatta della cortesia e gentilezza di Erica che mi ha seguito passo a passo per passare con Sorgenia luce e gas. Ora spero solo di essere abbastanza soddisfatta anche del servizio di Sorgenia per le mie utenze. Unica pecca? Solo accredito si conto corrente,5,Sono stata molto soddisfatta della…,27 dicembre 2024
Giulia Zanotti,IT,24 dic 2024,"Marika è stata veramente disponibile, gentile e simpatica :)
Mi ha illustrato l’offerta migliore per me, ero già cliente Sorgenia su consiglio di mia mamma e mio fratello…confermata nel tempo e oggi attivata un’altra utenza!
Grazie:)",5,Marika è stata veramente disponibile,24 dicembre 2024
Salvatore Giardina,IT,27 dic 2024,"Un anno di disservizi Open Fiber, da oltre 8 mesi ho avuto molti guasti per incompetenza dei tecnici open fiber , sempre dalla stessa centralina , decine di giorni accumulati senza servizio Internet e io continuo a pagare l abbonamento . Appuntamenti non rispettati per ciò che concerne il tecnico di open fiber che non si presenta ad appuntamento fissato , Internet che salta puntualmente sotto periodi di festività e fine settimana .. disservizi ripetuti e mai rimborsati . 4000 punti greeners che uno ci si pulisce visto che mi serve una connessione ! Ho portato diverse persone in sorgenia convinto fosse la migliore .. per un tempo è stato così . Credo che farò disdetta e passerò ad altro operatore . Non si tratta un cliente in questo modo con sufficienza e con risposte vaghe . Il cliente paga per un servizio che deve funzionare . Ora comincio a guardarmi intorno e appena trovo un offerta valida cambierò operatore . Veramente deluso",1,Un anno di disservizi Open Fiber,27 dicembre 2024
Maria Raffaella Bovo,IT,1 giorni fa,"L'operatore è stato chiaro, gentile e veloce nel passaggio a Sorgenia.",5,L'operatore è stato chiaro,02 gennaio 2025
Cristina,IT,20 dic 2024,Chiara è stata professionale e molto attenta alle mie esigenze. Ha gestito la mia voltura con estrema pazienza e gentilezza e mi ha guidata in tutti i passi (anche facendo simulazioni di spesa e preventivi e trovare i dati dei consumi dei miei attuali fornitori).,5,Chiara è stata gentilissima,20 dicembre 2024
Stefania Ieva,IT,12 ore fa,Sono una ex cliente che è tornata. Il Sig. Fausto mi ha seguito con gentilezza e competenza soddisfando le mie richieste ed aspettative.,5,Sono una ex cliente che è tornata,03 gennaio 2025
VITTORIO FERRANTI,IT,7 ore fa,"Facile e veloce
Procedura scorrevole, intuitiva e veloce. Sito molto chiaro",5,Facile e veloce,03 gennaio 2025
Giuanluca Mangoni,IT,24 dic 2024,"Disponibilità, esperienza, gentilezza e tanta competenza da parte di Elena, ci siamo sentiti più volte, e tutte le volte mi ha sempre aiutato e fornito giusti consigli. Oggi sono passato a Sorgenia. Grazie Elena.",5,Nuovo contratto Luce e Gas,23 dicembre 2024
Rachele Carrara,IT,3 giorni fa,"Piero, bravissimo chiaro e soprattutto paziente ,rispettando i miei tempi
Lo consiglio !!!😉",5,Piero,31 dicembre 2024
Alessia Staropoli,IT,21 dic 2024,"Ho sottoscritto un contratto luce, gas e fibra approfittando dell’offerta che mi è stata illustrata dall’operatrice (Teresa) in totale trasparenza e chiarezza. Se dovessi consigliare sorgenia, lo farei anche per l’ottimo servizio clienti, che mi ha permesso di sottoscrivere il contratto in pochissimo tempo.",5,Ho sottoscritto un contratto luce,21 dicembre 2024
Cecilia,IT,5 ore fa,"Esperienza positiva.
La consulenza è stata molto chiara e veloce.",5,Esperienza positiva.,03 gennaio 2025
Alessandro,IT,3 giorni fa,Rossana mi ha seguita nella telefonata ed è stata super gentile e competente,5,Rossana mi ha seguita nella telefonata…,31 dicembre 2024
Chicca B,IT,4 giorni fa,"L'operatore è stato cortese, professionale dando risposte esaustive a tutte le mie domande.",5,Ottima consulenza,31 dicembre 2024
Federico Salustri,IT,27 dic 2024,"È una vera e propria truffa, ti fanno firmare il contratto dopo verifica fattura vecchio fornitore, assicurandomi che avrei pagato la metà......dopo due mesi, sono costretto a cambiare di nuovo.
Mi avevano convinto bene...bravi",1,È una vera e propria truffa,27 dicembre 2024
Claudio Busetto,IT,23 dic 2024,"La telefonata è stata piacevole , l'operatrice Erica molto gentile e ha risposto alle mie domande con cortesia e professionalità. L'offerta mi sembra , per ora, valida.",5,La telefonata è stata piacevole,23 dicembre 2024
Gianluca,IT,2 ore fa,Le informazioni sono chiare e i prezzi sono concorrenziali.,5,Chiarezza nelle informazione,03 gennaio 2025
Romy SP,IT,21 dic 2024,"Ho appena sottoscritto il contratto con Sorgenia, la signora che mi ha seguito nella pratica è stata gentilissima e molto disponibile
Il mio contratto partirà a febbraio e spero di risparmiare perché con altra compagnia spendo un capitale",5,Ho appena sottoscritto il contratto con…,21 dicembre 2024
Alessandro Ricci,IT,27 dic 2024,"E' stato molto facile eseguire il passaggio di Gestore.
L'operatrice con cui mi sono interfacciato al telefono è stata molto gentile.",5,E' stato molto facile eseguire il…,27 dicembre 2024
Massimo Servello,IT,23 dic 2024,"Competenza e professionalità dell’operatore del Contact Center che mi ha aiutato nella sottoscrizione del contratto.
Ho trovato molto chiara e intuitiva la piattaforma online.",5,Competenza e professionalità…,23 dicembre 2024
Mirko,IT,7 giorni fa,La mia consulente Graziella è stata impeccabile e mi ha aiutato passo dopo passo ad attivare la mia fornitura,5,Impeccabili,27 dicembre 2024
Maria Coccioletti,IT,8 ore fa,nuova adesione a sorgenia: matteo professionale e veloce,5,nuova adesione a sorgenia,03 gennaio 2025
GIORGIO,IT,4 giorni fa,"MOLTO POSITIVA PER PREZZO, SEMPLICE E VELOCE NEL STIPULARE IL CONTRATTO. LA SIG. ROSSANA DEL CALL CENTER MOLTO COMPETENTE E GENTILE.",5,SEMPLICE E VANTAGGIOSO,30 dicembre 2024
Valentina Lovati,IT,23 dic 2024,Ottimo servizio clienti. Risposta al numero verde immediata. Mi sono interfacciata con Daniela che è stata competente e cordiale. Abbiamo attivato le forniture velocemente. Pienamente soddisfatta del servizio e dell'assistenza.,5,Ottimo servizio clienti,23 dicembre 2024
Gariboldi Patrizio,IT,3 giorni fa,Oggi ho attivato il contratto con Sorgenia per ora tutto positivo compreso l'applicazione del fornitore,4,Cambio fornitore,31 dicembre 2024
Nicola Angius,IT,14 ore fa,"Grazie a Piero, per la cortesia disponibilità e professionalità",5,Professionalità,03 gennaio 2025
angelo conte,IT,11 ore fa,operatrice Sig.ra Teresa gentile e competente,5,operatrice Sig.ra Teresa gentile e…,03 gennaio 2025
VJOLLCA YMERI,IT,23 dic 2024,Buongiorno sono molto amareggiata .. avere a che fare con sorgenia SpA personale non è in grado dare una risposta precisa al cliente dopo una settimana che contato per la mia attività .. e mi sembra di parlare ogni volta con una appena iniziato primo giorno lavorativo.. ho un attività ..ma abbiamo avuto problemi con acquazzoni mese settembre. E nessun esito di venirci incontro.. mando prova di pagamento dal 16 di dicembre.. non c'è mi dicono .. e una vergogna .. sconsiglio vivamente sorgenia ... non sono competenti... poi se ritardi un pagamento... ti chiamano dalla Romania aiutooooo voto zero,5,Buongiorno sono molto amareggiata .,23 dicembre 2024
GIUSEPPE PANETTA,IT,3 giorni fa,"Operatore gentile e disponibile
mi ha seguito passo passo per tutta
la procedura",5,Operatore gentile e disponibile,31 dicembre 2024
cliente,IT,27 dic 2024,L'operatrice Graziella é stata effientissima. Ho terminato il contratto in appena venti minuti da remoto.,5,L'operatrice Graziella é stata…,27 dicembre 2024
VITTORIO BERGAMINI,IT,11 ore fa,"Gestione del cliente con competenza, professionalità e cortesia.",5,Professionisti,03 gennaio 2025
DONATO,IT,22 dic 2024,È stato molto facile e in un tempo limitato effettuare il passaggio a questo nuovo gestore. La nota negativa è stata l'essere bombardato da almeno un centinaio di telefonate di altri operatori che sono venuti ad conoscenza della mia scelta e volevamo non farmi transitare da loro con offerte peraltro palesemente truffaldine.,5,Rapidità ed efficienza,18 dicembre 2024
Giovanni,IT,27 dic 2024,Ho scelto Sorgenia per l'assistenza clienti gestita da persone gentili e vere e non da Intelligenza artificiale,5,Ho scelto Sorgenia per l'assistenza…,27 dicembre 2024
Serena Maggioni,IT,7 ore fa,"Ringrazio Francesca, per la gentilezza, la professionalità e la disponibilità. Attivazione rapida, chiara nelle informazioni.",5,Ringrazio Francesca,03 gennaio 2025
Pietro Pinucci,IT,24 dic 2024,"Attivazione molto facile
Guidato passo passo dalla gentilissima Elena ho attivato la fornitura in men che non si dica!",5,Attivazione molto facile,24 dicembre 2024
Giovanna Fasano,IT,Un giorno fa,Addetto all customer care competente e paziente,5,Addetto all customer care competente e…,02 gennaio 2025
VINCENZO VENTURA,IT,4 giorni fa,"Ho ricevuto una consulenza dettagliata e precisa, con grande professionalità e preparazione da parte di Simona.",5,Ho ricevuto una consulenza dettagliata…,30 dicembre 2024
Simone Bocconi,IT,12 ore fa,"Tutto ok, personale cordiale e preparato",5,Tutto ok,03 gennaio 2025
Maria Luisa Amendola,IT,23 dic 2024,Ringrazio la fantastica operatrice Erica per avermi supportato in maniera eccellente nel passaggio dal mio precedente operatore di gas e luce a Sorgenia.,5,Ringrazio la fantastica operatrice …,23 dicembre 2024
Alice Papagno,IT,23 dic 2024,"Sono passata a Sorgenia in questo momento e oltre alle ottime offerte proposte ho trovato la signora Rossana che mi ha spiegato e aiutato per filo e per segno in tutto, molto disponibile e gentile",5,Sono passata a Sorgenia in questo…,23 dicembre 2024
Reza Saeedi,IT,4 giorni fa,"Bravissimiiiiiiiiii
Stato un bel conversazione con sig.ra Anna Maria
Vi ringrazio tantissimo
Ci sia dato più di qualche ora per poter risolvere il mio problema
Grazie",5,Bravissimiiiiiiiiii,30 dicembre 2024
Andrea,IT,21 dic 2024,"Sono completamente insoddisfatto dalla piattaforma web che è da mezza giornata che mi impedisce l'accesso con le mie credenziali che sono corrette. Assistenza che mi propone un reset di password ma io non posso aspettare 24 ore.
Meno pop up e più concretezza per favore.",2,Sono completamente insoddisfatto dalla…,21 dicembre 2024
Roberto ISMARI,IT,20 dic 2024,"1 stella per non esiste di meno..... da circa 10 mesi non utilizzo più un fondo commerciale sena alcuna utenza collegata, ma mi chiedono di pagare per il ""TRASPORTO ENERGIA""..motivando che è il canone relativo all' impianto di distribuzione che ovviamente non è loro e quindi ci vanno giù per compensare altre spese....inoltre chiamano da un call center che è situato in Albania anche se il contratto è per utenza italiana..anche lì per risparmiare....",1,Diffidate fanno pagare anche se b+non consumi,02 dicembre 2024
Stefano Callegarin,IT,4 giorni fa,"Un servizio eccellente dal inizio alla fine.
Molto veloce tutta la pratica",5,Un servizio eccellente dal inizio alla…,30 dicembre 2024
Nino,IT,24 dic 2024,"Addetto al telefono gentile e disponibile.
Ha provveduto alla compilazione completa del contratto in modo veloce ed efficace.",5,Addetto al telefono gentile e…,24 dicembre 2024
Di Paola Sonia,IT,21 dic 2024,"Da denuncia!!! ho attivato il contratto sul sito ad ottobre perché con il vecchio fornitore nonostante mi fossi sempre trovata benissimo i costi sono raddoppiati. Mi arrivano mail di benvenuto e nessuna bolletta perciò chiamo l'assistenza ed un operatore mi dice che non mi hanno attivato nulla perché il mio contatore è di proprietà di Eni e la stessa Eni che fornisce il servizio a Sorgenia non può più attivare nuove forniture in zona perché non c'è più spazio.. Ovviamente rimango interdetta e mi lamento per non essere stata avvisata, chiedo quindi di cancellare tutto . L' operatore stizzito mi dice non c'è nulla da cancellare visto che non è partito nulla . Tiro un sospiro di sollievo e chiudo la chiamata.Oggi sabato pomeriggio mi arriva una bolletta di 48 euro e rotti che moltiplicata per 2 visto che è solo di un mese , è più di quanto pagavo prima. Lunedì li contatterò per lamentarmi ma soprattutto ho già sottoscritto un nuovo contratto con altro gestore.Non mi era mai capitata una cosa del genere con nessun altro gestore di nessun altro servizio...pessima pessima esperienza",1,Da denuncia!!,21 dicembre 2024
Fabio,IT,Un giorno fa,Procedura di attivazione molto semplice e standard,5,Procedura di attivazione,02 gennaio 2025
Cinzia,IT,6 giorni fa,L’operatore Sig.Piero è stato molto chiaro disponibile e professionale.,5,Complimenti Sig Piero,28 dicembre 2024
Matteo Grubissa,IT,3 ore fa,la ragazza è stata gentilissima,5,è stata gentilissima e chiara,03 gennaio 2025
Tiziano Boi,IT,5 giorni fa,Personale molto qualificato prezzi competitivi e trasparenti veri professionisti ti aiutano e ti seguono in tutto,5,Sorgenia è la migliore,30 dicembre 2024
Ambrogio Noe,IT,4 giorni fa,Ho trovato nella sig.ra Rossana una persona preparata e competente.,5,Ho trovato nella sig.ra Rossana una…,30 dicembre 2024
Alex Affabris,IT,27 dic 2024,Guido è stato superlativo. Lessico chiaro e cristallino e veloce nel suo operato.,5,Veloce ed efficiente,27 dicembre 2024
Alessandro,IT,20 dic 2024,"Personale commerciale cordiale e preparato, sono cliente Sorgenia da 10 anni, mi hanno aiutato ad stipulare un contratto anche per un mio famigliare.",5,Personale commerciale cordiale e…,20 dicembre 2024
cliente,IT,Un giorno fa,"Operatore accogliente, che fornisce informazioni chiare e comprensibili.
Processo di attivazione veloce e trasparente",5,Accoglienza e velocità,02 gennaio 2025
FRANCESCO,IT,4 giorni fa,Ripassato da loro mi trovavo bene prima spero anche adesso,5,Ripassato da loro mi trovavo bene prima…,30 dicembre 2024
Maria Aiello,IT,24 dic 2024,La signora Agnese è stata gentilissima e mi ha guidato piano piano per l'attivazione. Ottimo servizio,5,La signora Agnese è stata gentilissima…,24 dicembre 2024
Francesco,IT,23 dic 2024,Eccellente operatrice con cui interfacciarsi in modo semplice e costruttivo. Mi compiaccio molto.,5,Eccellente operatrice con cui…,23 dicembre 2024
Bryan Capelluto,IT,23 dic 2024,In meno di dieci minuti di telefonata ho effettuato il cambio fornitore. Operatori gentili e disponibili,5,Meno di 10 minuti,23 dicembre 2024
Aleksandar Markovich,IT,22 dic 2024,"State attenti, I costi fissi non sono 7€/8 oppure 10€ al mese, io ho Gas+Luce+Fibra con offerta e sconti per i primi 12 mesi pago: Gas 16€ al mese con 0mq consumati, Luce 35€ per 55kw consumati e Fibra- Internet 24€ con sconto di 14€ totali per i primi 12 mesi, dopo diventeranno 32€+IVA. Quindi ricapitolando le spese fisse o costi fissi per gas e luce al mese (senza consumi) sono circa 18-20€ senza sconti e offerte il che e esattamente il doppio di quello che dicono loro e Arera, che dà questo prezzo ma per BIMESTRE!!! Non so come sono gli altri fornitori e non potrò scoprirlo per almeno altri 18 mesi perche le penali per cambiare fornitore sono: Fibra: 30€ + 18mesi X 8€ + 6 mesi x14€= 258€ + Luce circa 5€ (sconti) x 6 mesi = 30€ e Gas sempre circa 5 € x 6 mesi = 30€, quindi Totale = 318 € per cambiare fornitore dopo 6 mesi, magari e conveniente vedete voi!!!",1,State attenti,20 dicembre 2024
MASSIMO GABRIELLI,IT,2 giorni fa,la gentilezza e le informazioni,5,valutazione,02 gennaio 2025
Giuseppe Cristian Minio,IT,4 giorni fa,"Operatrice molto gentile, competente e veloce. Top",5,Operatrice molto gentile,30 dicembre 2024
Irene Scarano,IT,1 giorni fa,"Ottima esperienza. Operatrice chiara, cortese e sintetica.",5,Ottima esperienza,02 gennaio 2025
Vito Giordano,IT,5 ore fa,"Operazione semplice effettuata con operatrice telefonica disponibile e davvero molto
gentile",5,Passaggio gestore utenza,03 gennaio 2025
Mimmo,IT,27 dic 2024,Molto positiva anzi ottima sinceramente proprio un gran risparmio,5,Ottima,01 ottobre 2024
Moira Arguto,IT,24 dic 2024,"Abbiamo attivato oggi la fornitura con Sabino, è stato molto gentile, paziente e professionale.",5,Attivazione fornitura sorgenia,24 dicembre 2024
Anna Maria Lucidi,IT,Un giorno fa,Facile veloce e gentili,5,Facile veloce e gentili,30 dicembre 2024
Valentina Antonutti,IT,4 giorni fa,Al telefono con Daria molto gentile e professinale,4,Appena fatto il contratto tutto bene,30 dicembre 2024
Paolo,IT,23 dic 2024,"Sono dal 2022 con Sorgenia, e voglio ampliare il rapporto.
Disponibili ad ogni problema sollevato.
La.cosa che devo vedere meglio e con Aton storage.",5,Ampliamento rapporto,23 dicembre 2024
Piero Tassoni,IT,5 giorni fa,Molto cortesi e puntuali nelle spiegazioni,5,Molto cortesi e puntuali nelle…,30 dicembre 2024
Chiara Castellucci,IT,24 dic 2024,"La signora Chiara che mi ha seguito é stata cortese, attenta e veloce.
Un esperienza molto positiva e senza stress!",5,La signora Chiara che mi ha seguito é…,24 dicembre 2024
Walter Gabriel,IT,3 giorni fa,call center gentile e disponibile,5,call center gentile,31 dicembre 2024
Stefano,IT,27 dic 2024,Consulente molto gentile. Ha risolto mio problema.,5,Consulente molto gentile,27 dicembre 2024
Cristiano Spacca,IT,13 ore fa,"Ottimo operatore, cordiale e gentile.",5,Ottimo operatore,03 gennaio 2025
ALBINO CEDROLA,IT,7 ore fa,esperienza ottima e trasparente,5,ottima e trasparente,03 gennaio 2025
Erminia Cristofaro,IT,4 giorni fa,l'operatrice è stata molto professionale ed esaustiva nelle spiegazioni,5,l'operatrice è stata molto professionale,30 dicembre 2024
stefano stefanelli,IT,20 dic 2024,"Proprio nulla da eccepire: trasparenza nelle bollette, chiarezza nell'assistenza sia telefonica che via mail e velocità di esecuzione nelle richieste.",5,Ottima azienda,14 novembre 2024
Vincenzo Virone,IT,Un giorno fa,servizio clienti ottimo prezzi molto competitivi,5,servizio clienti serio,02 gennaio 2025
Federica Paone,IT,27 dic 2024,"Ottima esperienza, servizio clienti chiaro ed efficiente",5,Ottima esperienza,27 dicembre 2024
Gabriele Bargellini (barge),IT,4 giorni fa,N/A,5,Molto semplice passare a Sorgenia,30 dicembre 2024
Alberto Bertini,IT,6 giorni fa,Guida semplice e rapida per cambio fornitore,5,Guida semplice e rapida per cambio…,28 dicembre 2024
